B197812271746A,1978-12-27,17:46:10, 3,  41.11,   13.58, 390.0,5.6,0.0,SOUTHERN ITALY           ,MLI,  0,    0,   0, 11,   33,  45,  0,    0,   0, 1,  4.3, 0.3,  41.11, 0.00,   13.58, 0.00, 387.7,  2.3,FREE , 2.00,D-B197812271746A,24,  3.170, 0.210, -1.720, 0.370, -1.450, 0.290,  0.480, 0.300, -4.980, 0.310, -5.180, 0.300,   7.630, 45,  58,   0.160, 39, 204,  -7.780, 18, 309,   7.700,  82, 44,  156, 190, 74,   49,5.86,D,A
T197901201349A,1979-01-20,13:49:59, 0,  38.67,   12.86,   9.0,5.2,0.0,USTICA                   ,HDF,  0,    0,   0,  8,   14,  45,  0,    0,   0, 1,  6.1, 1.2,  38.85, 0.05,   12.83, 0.06,  10.0,  0.0,FIX  , 1.00,D-T197901201349A,23,  1.770, 0.070, -1.910, 0.050,  0.140, 0.080, -1.410, 0.340,  1.010, 0.230,  0.020, 0.030,   2.620, 63, 232,  -0.180, 17, 105,  -2.440, 20,   9,   2.530,  72, 29,   53, 293, 67,  109,4.87,D,A
B197904090210A,1979-04-09,02:10:20, 2,  41.96,   19.02,  10.0,5.3,4.9,YUGOSLAVIA               ,MLI,  0,    0,   0, 11,   21,  45,  0,    0,   0, 1,  5.2, 0.9,  41.25, 0.18,   19.27, 0.12,  15.0, -1.0,FREE , 1.70,D-B197904090210A,24,  0.890, 0.120, -0.730, 0.170, -0.160, 0.070,  0.370, 0.200, -1.000, 0.190,  0.590, 0.080,   1.500, 59,  90,  -0.060, 21, 320,  -1.440, 22, 221,   1.470, 278, 30,   44, 148, 70,  113,5.38,D,A
C197904150619A,1979-04-15,06:19:41, 4,  42.04,   19.05,   4.0,6.1,0.0,OFF JUGOSLAVY            ,MLI,  0,    0,   0, 11,   32,  45, 12,   35, 135, 1, 14.8, 0.2,  41.63, 0.02,   18.84, 0.02,  10.0,  0.0,FIX  ,10.00,D-C197904150619A,26,  1.420, 0.020, -0.620, 0.020, -0.800, 0.010,  2.250, 0.110, -1.630, 0.100,  0.670, 0.010,   3.160, 58,  31,  -0.080,  5, 129,  -3.070, 32, 222,   3.110, 328, 14,  110, 127, 77,   85,6.93,D,B
T197904151025A,1979-04-15,10:25:24, 0,  41.88,   19.28,  10.0,5.1,5.1,ADRIATICO                ,ISC,  0,    0,   0,  4,   11,  35,  0,    0,   0, 1,  7.0, 1.9,  42.22, 0.12,   19.46, 0.12,  15.0,  0.0,FIX  , 2.00,D-T197904151025A,23,  2.200, 0.250, -1.270, 0.180, -0.930, 0.140, -0.030, 0.390, -1.150, 0.430,  1.020, 0.090,   2.610, 70, 106,  -0.350, 17, 318,  -2.260, 10, 224,   2.430, 294, 38,   61, 149, 57,  111,4.86,D,B
B197904151443A,1979-04-15,14:43:06, 0,  42.32,   18.68,  10.0,5.7,5.6,NORTHERN GREECE          ,MLI,  0,    0,   0, 12,   31,  45,  0,    0,   0, 1,  9.2, 0.4,  42.39, 0.10,   19.75, 0.09,  11.8,  0.0,FIX  , 4.00,D-B197904151443A,24,  0.300, 0.240, -0.430, 0.270,  0.130, 0.230,  3.190, 0.380, -5.130, 0.340, -0.220, 0.270,   6.280, 45,  59,  -0.470,  1, 328,  -5.810, 45, 236,   6.040, 249,  2,   11, 148, 90,   91,5.79,D,B
S197904170539A,1979-04-17,05:39:57, 7,  42.52,   18.58,  10.0,5.4,0.0,YUGOSLAVIA               ,Nei,  0,    0,   0,  7,   12,  35,  0,    0,   0, 1, 10.4, 0.6,  42.85, 0.03,   18.93, 0.04,  15.0,  0.0,FIX  , 1.00,D-S197904170539A,23,  0.940, 0.050, -0.390, 0.040, -0.550, 0.040,  1.350, 0.090, -1.740, 0.080,  0.760, 0.030,   2.310, 58,  55,   0.280,  2, 321,  -2.600, 32, 230,   2.450, 311, 13,   79, 142, 77,   93,4.86,D,B
R197904181519A,1979-04-18,15:19:19, 7,  46.36,   13.28,  14.3,4.8,4.7,AUSTRIA                  ,ISC,  0,    0,   0,  8,   16,  45,  0,    0,   0, 1,  3.2, 0.9,  46.40, 0.03,   13.16, 0.05,  10.0,  0.0,FIX  , 1.00,D-R197904181519A,23,  0.100, 0.060, -1.070, 0.050,  0.960, 0.050,  0.280, 0.200,  0.470, 0.260,  0.410, 0.040,   1.280, 24, 283,  -0.100, 64,  80,  -1.180,  9, 189,   1.230, 323, 66,  169,  58, 80,   24,4.66,D,A
S197905120330A,1979-05-12,03:30:34, 7,  42.33,   18.76,  10.0,5.2,0.0,YUGOSLAVIA               ,Nei,  0,    0,   0,  6,   13,  35,  0,    0,   0, 1,  7.7, 0.7,  42.68, 0.04,   19.02, 0.04,  18.5,  1.6,FREE , 1.00,D-S197905120330A,23,  0.920, 0.260,  1.310, 0.130, -2.240, 0.220,  0.670, 0.150, -0.600, 0.260, -0.860, 0.070,   2.070, 35,  17,   0.430, 54, 181,  -2.490,  8, 281,   2.280,  53, 60,  159, 154, 72,   32,4.84,D,B
B197905241723A,1979-05-24,17:23:18, 2,  42.26,   18.75,   8.0,5.8,6.2,OFF JUGOSLAVY            ,MLI,  0,    0,   0, 11,   29,  45,  0,    0,   0, 1,  9.3, 0.3,  41.54, 0.07,   18.35, 0.05,  10.0,  0.0,FIX  , 9.00,D-B197905241723A,25,  1.720, 0.070, -0.420, 0.100, -1.300, 0.050, -0.550, 0.240,  1.180, 0.310,  0.980, 0.090,   2.140, 72, 254,   0.200,  5, 150,  -2.340, 18,  58,   2.240, 141, 28,   80, 332, 63,   95,6.17,D,B
B197909192135A,1979-09-19,21:35:37, 2,  42.81,   13.06,  16.0,5.9,5.8,CENTRAL ITALY            ,MLI,  0,    0,   0, 13,   36,  45,  0,    0,   0, 1,  8.8, 0.3,  42.06, 0.08,   12.79, 0.04,  45.4,  2.6,FREE , 2.00,D-B197909192135A,24, -5.040, 0.280, -0.680, 0.420,  5.720, 0.250,  1.700, 0.420, -3.890, 0.460, -1.010, 0.400,   7.260, 19,  79,  -0.660,  9, 346,  -6.590, 69, 231,   6.920, 183, 28,  -70, 341, 64, -100,5.83,D,B
S197910032257A,1979-10-03,22:57:52, 0,  43.53,   18.08,  10.0,5.1,0.0,YUGOSLAVIA               ,Nei,  0,    0,   0,  6,   13,  35,  0,    0,   0, 1, -3.3, 0.2,  43.22, 0.02,   18.11, 0.04,  15.0,  0.0,FIX  , 1.00,D-S197910032257A,23, -6.480, 0.350,  3.400, 0.210,  3.080, 0.280,  1.390, 0.850,  2.630, 0.670,  3.170, 0.130,   7.010, 12, 315,   0.180,  7, 223,  -7.190, 76, 104,   7.100,  54, 34,  -78, 219, 57,  -98,5.17,D,B
B197912080406A,1979-12-08,04:06:34, 2,  38.28,   11.74,  33.0,5.4,5.3,SICILY                   ,MLI,  0,    0,   0,  9,   16,  45,  0,    0,   0, 1, -1.4, 0.8,  37.95, 0.14,   11.49, 0.14,  15.0, -1.0,FREE , 1.70,D-B197912080406A,24,  1.130, 0.100, -1.230, 0.150,  0.100, 0.070,  0.200, 0.220, -0.220, 0.190, -0.510, 0.080,   1.220, 74,  63,   0.190, 16, 252,  -1.400,  3, 162,   1.310, 235, 45,   67,  87, 50,  111,5.35,D,B
S198001051432A,1980-01-05,14:32:26, 2,  45.03,    7.46,  12.0,4.8,0.0,NORTHERN ITALY           ,Nei,  0,    0,   0,  5,    7,  35,  0,    0,   0, 1,  6.3, 0.7,  45.11, 0.03,    7.31, 0.03,  17.8,  2.6,FREE , 1.00,D-S198001051432A,23,  1.030, 0.370,  0.060, 0.220, -1.090, 0.200, -1.270, 0.710, -1.150, 0.420,  1.030, 0.070,   2.550, 48, 144,  -0.780, 39, 347,  -1.770, 12, 248,   2.160, 300, 48,   31, 187, 67,  133,4.83,D,A
R198002200234A,1980-02-20,02:34:02, 9,  39.30,   16.21,  12.0,4.8,0.0,SOUTHERN ITALY           ,Nei,  0,    0,   0,  5,   12,  35,  0,    0,   0, 1,  1.8, 0.8,  39.34, 0.07,   16.02, 0.04,  15.0,  0.0,FIX  , 1.00,D-R198002200234A,22, -4.940, 0.300, -0.660, 0.220,  5.590, 0.270, -0.560, 0.620,  0.550, 1.030,  0.670, 0.140,   5.690,  3, 276,  -0.640,  8, 185,  -5.050, 82,  24,   5.370,  14, 43,  -78, 178, 48, -101,4.42,D,A
S198002282104A,1980-02-28,21:04:40, 7,  42.82,   12.99,  10.0,5.1,0.0,CENTRAL ITALY            ,Nei,  0,    0,   0,  5,    8,  35,  0,    0,   0, 1, -4.7, 1.0,  42.67, 0.06,   12.73, 0.07,  10.0,  0.0,FIX  , 1.00,D-S198002282104A,23, -0.300, 0.180, -0.850, 0.180,  1.150, 0.170, -2.370, 0.340, -2.430, 0.350, -0.810, 0.080,   3.160, 42, 110,   0.820, 19, 218,  -3.980, 42, 326,   3.570, 128, 19, -179,  38, 90,  -71,4.97,D,B
S198003091203A,1980-03-09,12:03:40, 0,  39.94,   16.12,  19.0,4.6,0.0,SOUTHERN ITALY           ,Nei,  0,    0,   0,  5,   11,  35,  0,    0,   0, 1,  2.8, 0.7,  40.04, 0.04,   16.05, 0.04,  15.0,  0.0,FIX  , 1.00,D-S198003091203A,23, -1.450, 0.080,  0.450, 0.060,  0.990, 0.070,  0.420, 0.070, -0.350, 0.100, -0.420, 0.020,   1.320, 11,  59,   0.240,  6, 328,  -1.560, 78, 210,   1.440, 157, 35,  -80, 324, 56,  -97,4.71,D,A
R198005140141A,1980-05-14,01:41:03, 7,  40.46,   15.85,  24.0,4.5,4.8,SOUTHERN ITALY           ,Nei,  0,    0,   0,  5,   12,  35,  0,    0,   0, 1, -2.2, 0.4,  40.20, 0.02,   15.63, 0.02,  18.4,  1.0,FREE , 1.00,D-R198005140141A,23, -2.000, 0.220,  1.090, 0.110,  0.910, 0.140,  0.140, 0.090, -0.830, 0.150, -1.120, 0.040,   2.230,  9,  45,   0.000, 13, 137,  -2.230, 74, 281,   2.230, 119, 38, -112, 326, 56,  -74,4.84,D,B
B198005281951A,1980-05-28,19:51:19, 2,  38.48,   14.25,  14.0,5.7,0.0,SICILY ITALY             ,MLI,  0,    0,   0, 13,   38,  45,  0,    0,   0, 1,  5.9, 0.3,  38.48, 0.00,   14.25, 0.00,  19.1,  1.9,FREE , 3.00,D-B198005281951A,24,  3.470, 0.080, -3.920, 0.090,  0.450, 0.080, -0.240, 0.240, -0.360, 0.190, -1.030, 0.090,   3.510, 84,  98,   0.650,  6, 257,  -4.160,  2, 347,   3.840,  83, 43,   99, 252, 48,   82,5.66,D,A
R198006010232A,1980-06-01,02:32:52, 5,  38.39,   14.33,  10.0,4.9,0.0,NORTHERN SICILY          ,NEI,  0,    0,   0,  4,   11,  35,  0,    0,   0, 1,  3.6, 0.2,  38.32, 0.02,   14.00, 0.04,  10.0,  0.0,FIX  , 1.00,D-R198006010232A,23,  1.720, 0.050, -1.530, 0.050, -0.200, 0.040, -0.350, 0.240, -0.200, 0.110, -0.830, 0.030,   1.770, 84, 146,   0.200,  1, 244,  -1.970,  6, 334,   1.870,  65, 39,   91, 243, 51,   89,4.78,D,B
S198006071835A,1980-06-07,18:35:01, 7,  44.09,   10.72,  16.0,4.6,0.0,NORTHERN ITALY           ,Nei,  0,    0,   0,  4,    7,  35,  0,    0,   0, 1,  4.0, 1.2,  43.90, 0.05,   10.56, 0.05,  15.0,  0.0,FIX  , 1.00,D-S198006071835A,23, -5.930, 1.340,  3.610, 1.380,  2.310, 0.350, -8.440, 1.710,  2.860, 0.680, -4.810, 0.490,   1.183, 26, 214,  -0.098, 15, 117,  -1.085, 60,   0,   1.134, 334, 23,  -50, 112, 72, -105,4.64,D,A
S198006091602A,1980-06-09,16:02:48, 7,  42.29,   13.88,  20.0,4.6,0.0,CENTRAL ITALY            ,Nei,  0,    0,   0,  5,    9,  35,  0,    0,   0, 1,  4.0, 0.5,  42.08, 0.04,   13.65, 0.08,  31.2,  0.8,FREE , 1.00,D-S198006091602A,23, -1.190, 0.110,  1.040, 0.060,  0.150, 0.120, -0.330, 0.040, -0.050, 0.060,  0.080, 0.020,   1.090,  8, 175,   0.140,  1,  85,  -1.240, 82, 347,   1.160, 266, 37,  -88,  84, 53,  -91,4.65,D,B
S198006142056A,1980-06-14,20:56:50, 2,  41.85,   13.73,   8.0,5.0,0.0,SOUTHERN ITALY           ,Nei,  0,    0,   0,  6,   14,  35,  0,    0,   0, 1,  4.2, 0.2,  41.77, 0.01,   13.63, 0.02,  19.8,  0.6,FREE , 1.00,D-S198006142056A,23, -3.510, 0.170,  2.590, 0.100,  0.920, 0.100, -0.850, 0.090,  0.430, 0.130, -1.060, 0.030,   3.240,  8, 206,   0.400,  0, 296,  -3.640, 82,  28,   3.440, 296, 37,  -90, 116, 53,  -90,4.96,D,A
S198006161444A,1980-06-16,14:44:34, 5,  41.88,   13.70,  10.0,4.5,0.0,SOUTHERN ITALY           ,Nei,  0,    0,   0,  4,    8,  35,  0,    0,   0, 1,  1.6, 0.9,  41.69, 0.05,   13.72, 0.10,  15.0,  0.0,FIX  , 1.00,D-S198006161444A,22, -4.860, 0.470,  3.110, 0.280,  1.760, 0.420, -4.020, 0.960, -0.660, 0.930, -0.790, 0.180,   4.860, 22, 190,   1.780,  9,  96,  -6.640, 66, 344,   5.750, 296, 25,  -68,  92, 67, -100,4.44,D,A
S198006221914A,1980-06-22,19:14:33, 7,  43.10,   17.42,  10.0,5.1,0.0,YUGOSLAVIA               ,Nei,  0,    0,   0,  6,    8,  35,  0,    0,   0, 1, -2.1, 0.5,  42.94, 0.03,   17.21, 0.03,  17.1,  1.2,FREE , 1.00,D-S198006221914A,22,  0.800, 0.430, -0.520, 0.300, -0.280, 0.250,  7.580, 0.640, -5.320, 0.600,  0.230, 0.190,   9.360, 47,  35,  -0.140,  0, 305,  -9.220, 43, 215,   9.290, 300,  2,   85, 125, 88,   90,4.58,D,A
S198011071108A,1980-11-07,11:08:40, 7,  42.77,   18.69,  10.0,4.9,0.0,YUGOSLAVIA               ,Nei,  0,    0,   0,  4,    8,  35,  0,    0,   0, 1, -4.4, 0.8,  42.44, 0.05,   18.46, 0.05,  15.0,  0.0,FIX  , 1.00,D-S198011071108A,22,  0.930, 0.560, -1.430, 0.340,  0.500, 0.360,  1.920, 1.180,  0.200, 1.190,  2.760, 0.180,   3.260, 32, 313,   0.590, 52,  97,  -3.850, 18, 212,   3.560, 348, 54,  169,  85, 81,   37,4.30,D,B
Z198011231834A,1980-11-23,18:34:53, 7,  40.91,   15.37,  10.0,6.0,6.9,SOUTHERN ITALY  IRPINIA  ,MLI,  0,    0,   0, 14,   42,  45, 22,   50, 135, 1, 13.0, 0.1,  40.82, 0.01,   15.39, 0.01,  13.7,  0.4,FREE ,12.00,D-Z198011231834A,26, -2.470, 0.020,  1.470, 0.020,  1.000, 0.020,  0.480, 0.070, -0.010, 0.060, -1.110, 0.010,   2.400,  4,  39,   0.130,  6, 308,  -2.530, 82, 163,   2.470, 135, 41,  -80, 303, 50,  -98,6.87,D,A
R198011240023A,1980-11-24,00:23:59, 5,  40.89,   15.26,  10.0,5.1,5.0,SOUTHERN ITALY           ,Nei,  0,    0,   0,  6,   12,  35,  0,    0,   0, 1, -0.4, 0.4,  40.65, 0.02,   15.04, 0.02,  20.2,  2.1,FREE , 1.00,D-R198011240023A,23, -2.760, 0.520,  0.270, 0.220,  2.480, 0.400,  1.200, 0.480, -2.220, 0.270, -3.150, 0.140,   5.480, 17,  55,  -1.910, 10, 148,  -3.570, 70, 267,   4.520, 131, 29, -110, 333, 63,  -79,5.04,D,B
S198011240303A,1980-11-24,03:03:53, 7,  40.90,   15.33,  10.0,4.9,0.0,SOUTHERN ITALY           ,Nei,  0,    0,   0,  6,   11,  35,  0,    0,   0, 1,  3.5, 0.4,  40.75, 0.02,   15.25, 0.03,  15.0,  0.0,FIX  , 1.00,D-S198011240303A,23, -3.280, 0.120,  1.590, 0.080,  1.690, 0.090, -0.810, 0.200, -1.710, 0.290, -1.780, 0.050,   3.490,  6,  49,   0.630, 23, 142,  -4.120, 66, 305,   3.800, 115, 44, -125, 339, 56,  -61,4.99,D,A
B198011251828A,1980-11-25,18:28:21, 5,  40.65,   15.40,  10.0,4.9,5.3,SOUTHERN ITALY           ,MLI,  0,    0,   0,  8,   19,  45,  0,    0,   0, 1,  3.9, 1.7,  40.15, 0.14,   15.36, 0.16,  15.0, -1.0,FREE , 1.80,D-B198011251828A,24, -1.050, 0.100,  0.960, 0.140,  0.090, 0.090,  1.010, 0.270, -0.100, 0.230, -0.510, 0.080,   1.560, 21,  20,  -0.080, 11, 286,  -1.470, 66, 170,   1.510, 129, 26,  -65, 281, 67, -102,5.39,D,A
